phosphoproteins	phosphodata_1	phosphodata_2	phosphodata_3	phosphodata_4	phosphodata_5	phosphodata_6	phosphodata_7	phosphodata_8	phosphodata_9	phosphodata_10	phosphodata_11	phosphodata_12	phosphodata_13	phosphodata_14	phosphodata_15	phosphodata_16	phosphodata_17	phosphodata_18	phosphodata_19	phosphodata_20
10-Sep-S28	1.51663939731523	1.36502999207111	1.10623659253695	0.114081290260954	0.986333610350845	0.288920489725335	0.641445999309368	0.923530011735298	0.0142636543400106	0.0057572764186366	0.714960704935453	0.559324180169366	1.6528790319203	0.960242729159541	0.897640668332934	0.00597611043141363	0.0450707179892335	0.540208174809763	3.51382753254873	0.100095785405159
10-Sep-S432	2.81636028182715	1.423487847837	2.53717899423677	0.762187353119021	1.77488304979061	0.377913634577361	0.563996611097512	1.15886818748715	3.81024223094338	0.258118425961657	0.495865631987579	1.2522087018984	1.44174242558976	0.760607061410544	5.22719237715648	0.901473684660523	2.15065942804037	0.360260930680153	0.632872341961924	0.689969746159629
10-Sep-S434	1.39037629743394	1.50009314656715	0.637887681744333	1.19571803132811	1.54267957661469	0.253279335382112	0.578127118789421	1.73015127287721	1.40589556617649	0.352548877930861	0.636034194524113	2.75305282818907	0.847361900433626	0.495717164515538	4.51714198819646	2.46971706213855	3.05349544274182	0.70070579751723	0.391542611670761	0.776797687487823
2-Sep-S218	0.971798919163017	0.73797077441048	1.1279586720956	1.45806638468575	1.40829819445676	1.03935723301544	0.784454560678374	2.14066228599397	1.83137853829856	1.38358611528044	1.07829962975709	2.23260109363683	1.02377479840623	1.06707931403047	2.44175459560773	0.90044302533928	1.21970214056099	1.87653816236022	0.457820333223962	0.691983752752583
5-Sep-S225	0.48481560250965	0.803935337685848	6.80680575356871	0.820811922659991	1.03594509044829	1.18972921639035	0.34496295626913	1.98881166722811	0.986274205623566	2.13797433419845	0.583048705740397	1.36278735579026	0.618552082363523	1.43941278632163	1.7850847087549	0.976630120295634	0.671044054239076	0.430008368545236	2.05524329648862	2.12337142670266
5-Sep-S327	0.900290081699943	0.809573680259394	0.741641909630969	0.671591088008881	0.19584652782501	0.938374515430319	0.50331630185802	0.927877539276946	1.08245777443559	0.993443896161014	0.486291924132608	1.14828662694908	0.825425493391076	0.580707543035349	1.32364476334065	0.69929446391396	0.679430211245326	0.516552789843841	3.45099217854432	0.887391055111663
6-Sep-S388	0.876328538774784	0.528573536829249	1.18558836692305	0.841658662971941	2.30050755445309	0.480805229571499	0.587743597383301	1.28903907305357	1.43527061162137	0.843173854459799	0.848263584944263	1.63373287433942	0.674755779965768	0.734926017411744	3.54989198644458	0.99353310246585	1.21298807730598	1.73048804650774	0.624052441739903	0.305658244190684
7-Sep-S334	1.07767018664186	2.60557694055045	1.45945818528944	0.207324293474647	0.846543656294331	2.91853779457508	0.672879564519407	1.01130981996361	0.424338220691751	0.404727011817335	2.68368945177848	1.32755544678306	0.680367858568769	0.813693926828082	1.32364476334065	0.0164851784807157	0.191678921644612	1.12489598585922	0.306585333546439	0.269129119185006
7-Sep-S423	0.269829648612527	0.401764346566834	0.377791790475378	0.00963437801474997	1.08348479302899	1.1592120308052	0.957765143627375	0.807199862608858	0.0120353996561182	0.00491826252871099	0.741162551656335	43.952608503609	0.660927276411174	1.73657936481856	1.95736370448065	0.0105399591885765	0.103295618665988	1.93339991186469	2.10318029016928	0.0591753654548647
9-Sep-S111	0.112625648091493	0.496350039398414	2.83044795837865	0.38767127692835	0.570869954558811	0.123416888153313	0.286294416232729	0.810999764712433	1.55214494071632	0.435408238923686	0.362444473936656	0.423554272935872	0.135485913296159	0.444992613846615	2.85779713063176	0.527768617897555	0.865017154016654	0.608721058778171	0.796183889824349	0.424065749598618
9-Sep-S2	0.433273334556539	0.46935988312824	0.370066289726749	0.695750014144834	6.48381195908958	1.33615106789317	0.329934807808572	0.52154734149192	1.70099909213533	2.57692419093833	0.947823159554895	0.896233702762678	0.983599020933236	0.323474686567515	4.32295546291698	2.10182360853434	1.95532525369882	0.998286487067773	0.429801022182654	2.19681867667778
9-Sep-S22	0.324935017705651	0.727727253506654	6.16115129789892	0.00330307734828433	0.0609926774165575	0.0677737571465587	0.775447851457361	1.11438938664071	0.404748051115527	0.0491014527505623	0.717108352720658	0.222727376690121	0.230840718870998	0.440106860766858	0.326270934656103	0.00494250706659365	0.0562838702380261	0.0791072438746021	1.48527490009611	0.0591753654548647
9-Sep-S30	0.0827103378880227	0.275947254153056	3.84473633716692	0.211140670869511	0.314584728716504	0.13741061375415	0.451393050640285	2.85079992001143	0.618428860992979	0.650254736045409	0.377987983234688	1.0237017293421	0.165510624963049	0.683615559924333	0.332810107464792	0.165452372454184	0.71798834584951	1.10116438678439	3.61023224956927	0.299776177830555
9-Sep-S41	1.11546433059582	1.30212949708516	0.964281921766636	0.211381513709542	1.31110863098821	0.831211836180909	2.82187666141812	0.80341776477185	0.154275804080915	0.151288146789868	1.26978907725032	0.576486427372387	1.3493054561781	1.02726324358459	0.835041269215362	0.160971664694204	0.348399169496426	0.794640961877221	0.828758042085098	0.107452896597847
9-Sep-S80	0.406232727532943	0.747052065658028	0.703023840986275	0.00188291741906208	0.180549940379736	1.84094271915665	1.61575583987341	0.349336287651489	0.00374152991133533	0.000453485452095607	2.22161071420581	0.633746580098231	0.330970694803711	1.53422076522835	0.660902259416221	0.011763408636275	0.00496811309488398	0.165431996516931	2.3625345948039	0.0656582914939041
9-Sep-S96	0.62082438477186	0.715122570458431	0.705591795159658	0.0157835527816254	0.570869954558811	0.268645549865564	1.57107158530038	0.497619336176823	0.002201697363825	0.00563701708332808	0.446449902082964	1.75310204464336	0.667344952275185	1.40625243945054	0.4770389409048	0.00217387225658602	0.023790979194847	0.354923716097413	1.70051450740793	0.0999014730515009
9-Sep-T142	0.80096816276004	1.22488590489782	0.318294751928168	0.00505351364168244	0.610613373692138	2.01447770400351	1.43479834569575	0.281462054576902	0.0053729402614579	0.00262358669285084	0.75575393882621	0.27464836242332	0.750430302808434	0.414941239598176	0.37702274316266	0.0135562092088029	0.0120323772271026	0.362572807762253	1.46898678859127	0.038553258144514
9-Sep-T49	0.849178245829532	4.00472314357041	0.95379187360364	0.0510116397642948	1.0002607640776	0.714919736098506	2.02215209108262	0.455138861970481	0.0227813896434039	0.00125117955342659	0.41794136615762	1.4594163614993	1.12298224961254	0.508652876551657	0.552807789615384	0.0847297910206568	0.0522421477282157	0.31230127793871	0.506093783318581	0.0514993949908425
AAAS-S495	0.25565756417807	0.552173807473769	0.606143777023838	1.88656316555215	18.019708323435	2.38308973320765	0.163387064991403	4.43990433904323	0.805591375870937	0.990222808906794	16.5239034788756	0.414270211850947	0.247336880207151	0.0620542791658273	7.40800332430198	12.9578323575111	0.820825436316531	0.687387328498256	0.0422518889074884	0.332294992799969
AAAS-S541	1.14253489787603	1.77714687990921	2.0018227869059	1.12689446051743	0.825445563209464	0.602247015431823	2.02215209108262	1.46331087674462	0.642640733317252	0.757483658923786	0.862373032498691	1.18829936406654	1.23520888566114	1.75370507679617	0.959477470503694	1.3270172697443	0.534397357473497	0.714282317956892	1.17943554838665	0.603393983325748
AAGAB-S310	0.267414219956429	0.613203644663936	0.429214048357716	3.98984731251246	1.2206263206255	1.38565434844998	0.999739602571176	1.4182047703065	1.4373921647129	7.02945169071728	1.03706398743645	0.743093085929265	0.332803326507509	1.26235683077635	0.863936574136741	1.83222349448238	1.40793430930339	1.91289701615654	1.08527399094658	1.58650347800431
